date,P_t,F_t
2023-07-21,9.78,9.78
2023-07-28,10.7,10.239999999999998
2023-08-04,10.74,10.406666666666666
2023-08-11,10.33,10.3875
2023-08-18,10.0,10.309999999999999
2023-08-25,9.67,10.203333333333333
2023-09-01,9.76,10.14
2023-09-08,9.71,10.08625
2023-09-15,9.66,10.038888888888888
2023-09-22,9.68,10.003
2023-09-28,9.64,9.97
2023-10-13,9.44,9.925833333333333
2023-10-20,9.04,9.857692307692307
2023-10-27,8.89,9.788571428571428
2023-11-03,8.92,9.730666666666668
2023-11-10,8.74,9.66875
2023-11-17,8.59,9.605294117647059
2023-11-24,8.54,9.54611111111111
2023-12-01,8.1,9.47
2023-12-08,7.74,9.3835
2023-12-15,7.65,9.300952380952381
2023-12-22,7.64,9.225454545454546
2023-12-29,7.83,9.164782608695651
2024-01-05,7.71,9.104166666666666
2024-01-12,7.63,9.0452
2024-01-19,7.61,8.99
2024-01-26,8.06,8.955555555555556
2024-02-02,7.71,8.911071428571429
2024-02-08,8.11,8.883448275862069
2024-02-23,9.29,8.896999999999998
2024-03-01,8.93,8.89806451612903
2024-03-08,8.82,8.895624999999999
2024-03-15,9.04,8.9
2024-03-22,8.8,8.897058823529411
2024-03-29,8.96,8.898857142857143
2024-04-03,8.9,8.898888888888889
2024-04-12,8.5,8.888108108108108
2024-04-19,9.13,8.894473684210526
2024-04-26,9.04,8.898205128205127
2024-04-30,9.23,8.9065
2024-05-10,9.38,8.918048780487805
2024-05-17,9.86,8.94047619047619
2024-05-24,9.75,8.959302325581396
2024-05-31,9.55,8.972727272727273
2024-06-07,9.43,8.982888888888889
2024-06-14,9.34,8.990652173913043
2024-06-21,9.16,8.994255319148937
2024-06-28,9.31,9.000833333333334
2024-07-05,9.13,9.003469387755102
2024-07-12,9.47,9.0128
2024-07-19,9.53,9.022941176470589
2024-07-26,9.19,9.026153846153846
2024-08-02,9.3,9.016923076923078
2024-08-09,9.2,8.988076923076923
2024-08-16,9.29,8.960192307692306
2024-08-23,9.63,8.946730769230768
2024-08-30,9.32,8.933653846153847
2024-09-06,9.24,8.925384615384614
2024-09-13,8.86,8.908076923076923
2024-09-20,9.06,8.895576923076923
2024-09-27,10.58,8.91326923076923
2024-09-30,11.37,8.945769230769232
2024-10-11,11.12,8.974230769230768
2024-10-18,11.44,9.012692307692307
2024-10-25,11.11,9.0525
2024-11-01,10.83,9.08980769230769
2024-11-08,11.12,9.132115384615386
2024-11-15,10.84,9.172500000000001
2024-11-22,10.68,9.212692307692308
2024-11-29,10.78,9.25576923076923
2024-12-06,11.06,9.312692307692307
2024-12-13,10.96,9.374615384615383
2024-12-20,11.02,9.439423076923077
2024-12-27,11.23,9.508461538461539
2025-01-03,10.78,9.565192307692307
2025-01-10,10.7,9.622692307692308
2025-01-17,10.85,9.684615384615386
2025-01-24,10.74,9.744807692307692
2025-01-27,10.87,9.798846153846153
2025-02-07,10.78,9.857884615384616
2025-02-14,10.95,9.912500000000001
2025-02-21,11.04,9.946153846153846
2025-02-28,10.93,9.984615384615385
2025-03-07,11.07,10.027884615384615
2025-03-14,11.37,10.072692307692307
2025-03-21,10.82,10.111538461538462
2025-03-28,10.75,10.145961538461538
2025-04-03,10.74,10.181346153846155
2025-04-11,10.29,10.215769230769231
2025-04-18,10.58,10.243653846153848
2025-04-25,10.41,10.27
2025-04-30,10.31,10.290769230769229
2025-05-09,10.55,10.31326923076923
2025-05-16,10.78,10.330961538461539
2025-05-23,10.86,10.352307692307694
2025-05-30,10.96,10.379423076923077
2025-06-06,11.1,10.411538461538461
2025-06-13,11.34,10.45
2025-06-20,11.6,10.496923076923078
2025-06-27,11.96,10.547884615384616
2025-07-04,12.36,10.610000000000001
2025-07-11,12.67,10.67153846153846
2025-07-18,12.46,10.727884615384616
2025-07-25,12.11,10.784038461538461
2025-08-01,12.04,10.836730769230769
2025-08-08,12.16,10.893653846153846
2025-08-15,11.84,10.942692307692308
2025-08-22,11.82,10.98480769230769
2025-08-29,11.81,11.032692307692308
2025-09-05,11.48,11.075769230769232
2025-09-12,11.48,11.126153846153848
2025-09-19,11.21,11.167499999999999
2025-09-26,11.16,11.178653846153846
2025-09-30,11.1,11.173461538461538
2025-10-10,11.19,11.174807692307693
2025-10-17,11.4,11.17403846153846
2025-10-24,11.56,11.182692307692305
2025-10-31,11.32,11.192115384615384
2025-11-03,11.43,11.198076923076922
